breed_group,weight_upper,description,name,id,image_url,life_span_upper,height_upper,bred_for,temperament,life_span_lower,weight_lower,height_lower
Non-Sporting,18.0,,Bichon Frise,42,https://cdn2.thedogapi.com/images/HkuYlxqEQ.jpg,15,11.5,Companion,"Feisty, Affectionate, Cheerful, Playful, Gentle, Sensitive",15,10.0,9.5
Hound,100.0,,Black and Tan Coonhound,43,https://cdn2.thedogapi.com/images/HJAFgxcNQ.jpg,12,27.0,"Hunting raccoons, night hunting","Easygoing, Gentle, Adaptable, Trusting, Even Tempered, Lovable",10,65.0,23.0
Hound,110.0,,Bloodhound,45,https://cdn2.thedogapi.com/images/Skdcgx9VX.jpg,10,27.0,Trailing,"Stubborn, Affectionate, Gentle, Even Tempered",8,80.0,23.0
Hound,80.0,,Bluetick Coonhound,47,https://cdn2.thedogapi.com/images/rJxieg9VQ.jpg,14,27.0,Hunting with a superior sense of smell.,"Friendly, Intelligent, Active",12,45.0,21.0
Working,200.0,,Boerboel,48,https://cdn2.thedogapi.com/images/HyOjge5Vm.jpg,12,27.0,"Guarding the homestead, farm work.","Obedient, Confident, Intelligent, Dominant, Territorial",10,110.0,22.0
Herding,45.0,,Border Collie,50,https://cdn2.thedogapi.com/images/sGQvQUpsp.jpg,16,22.0,Sheep herder,"Tenacious, Keen, Energetic, Responsive, Alert, Intelligent",12,30.0,18.0
Terrier,15.5,,Border Terrier,51,https://cdn2.thedogapi.com/images/HJOpge9Em.jpg,14,16.0,"Fox bolting, ratting","Fearless, Affectionate, Alert, Obedient, Intelligent, Even Tempered",12,11.5,11.0
Non-Sporting,25.0,,Boston Terrier,53,https://cdn2.thedogapi.com/images/rkZRggqVX.jpg,13,17.0,"Ratting, Companionship","Friendly, Lively, Intelligent",11,10.0,16.0
Herding,110.0,,Bouvier des Flandres,54,https://cdn2.thedogapi.com/images/Byd0xl5VX.jpg,15,27.5,Cattle herding,"Protective, Loyal, Gentle, Intelligent, Familial, Rational",10,70.0,23.5
Working,70.0,,Boxer,55,https://cdn2.thedogapi.com/images/ry1kWe5VQ.jpg,10,25.0,"Bull-baiting, guardian","Devoted, Fearless, Friendly, Cheerful, Energetic, Loyal, Playful, Confident, Intelligent, Bright, Brave, Calm",8,50.0,21.5
Sporting,40.0,,Boykin Spaniel,56,https://cdn2.thedogapi.com/images/ryHJZlcNX.jpg,14,18.0,Turkey retrieving,"Friendly, Energetic, Companionable, Intelligent, Eager, Trainable",10,25.0,14.0
Sporting,88.0,,Bracco Italiano,57,https://cdn2.thedogapi.com/images/S13yZg5VQ.jpg,12,26.5,Versatile gun dog,"Stubborn, Affectionate, Loyal, Playful, Companionable, Trainable",10,55.0,21.5
Herding,90.0,,Briard,58,https://cdn2.thedogapi.com/images/rkVlblcEQ.jpg,12,27.0,"Herding, guarding sheep","Fearless, Loyal, Obedient, Intelligent, Faithful, Protective",10,70.0,22.0
Sporting,45.0,,Brittany,59,https://cdn2.thedogapi.com/images/HJWZZxc4X.jpg,14,20.5,"Pointing, retrieving","Agile, Adaptable, Quick, Intelligent, Attentive, Happy",12,30.0,17.5
Terrier,70.0,,Bull Terrier,61,https://cdn2.thedogapi.com/images/VSraIEQGd.jpg,12,22.0,"Bull baiting, Fighting","Trainable, Protective, Sweet-Tempered, Keen, Active",10,50.0,21.0
,33.0,,Bull Terrier (Miniature),62,https://cdn2.thedogapi.com/images/BkKZWlcVX.jpg,14,14.0,An elegant man's fashion statement,"Trainable, Protective, Sweet-Tempered, Keen, Active, Territorial",11,25.0,10.0
Working,130.0,,Bullmastiff,64,https://cdn2.thedogapi.com/images/r1ifZl5E7.jpg,12,27.0,Estate guardian,"Docile, Reliable, Devoted, Alert, Loyal, Reserved, Loving, Protective, Powerful, Calm, Courageous",8,100.0,24.0
Terrier,14.0,,Cairn Terrier,65,https://cdn2.thedogapi.com/images/Sk7Qbg9E7.jpg,15,10.0,"Bolting of otter, foxes, other vermin","Hardy, Fearless, Assertive, Gay, Intelligent, Active",14,13.0,9.0
Working,120.0,,Cane Corso,67,https://cdn2.thedogapi.com/images/r15m-lc4m.jpg,11,27.5,"Companion, guard dog, and hunter","Trainable, Reserved, Stable, Quiet, Even Tempered, Calm",10,88.0,23.5
Herding,38.0,,Cardigan Welsh Corgi,68,https://cdn2.thedogapi.com/images/SyXN-e9NX.jpg,14,12.5,Cattle droving,"Affectionate, Devoted, Alert, Companionable, Intelligent, Active",12,25.0,10.5
Herding,95.0,,Catahoula Leopard Dog,69,https://cdn2.thedogapi.com/images/BJcNbec4X.jpg,12,26.0,Driving livestock,"Energetic, Inquisitive, Independent, Gentle, Intelligent, Loving",10,50.0,20.0
Working,100.0,,Caucasian Shepherd (Ovcharka),70,https://cdn2.thedogapi.com/images/r1rrWe5Em.jpg,12,33.5,"Guard dogs, defending sheep from predators, mainly wolves, jackals and bears","Alert, Quick, Dominant, Powerful, Calm, Strong",10,80.0,24.0
Toy,18.0,,Cavalier King Charles Spaniel,71,https://cdn2.thedogapi.com/images/HJRBbe94Q.jpg,14,13.0,"Flushing small birds, companion","Fearless, Affectionate, Sociable, Patient, Playful, Adaptable",10,13.0,12.0
Sporting,80.0,,Chesapeake Bay Retriever,76,https://cdn2.thedogapi.com/images/9BXwUeCc2.jpg,13,26.0,Water Retriever,"Affectionate, Intelligent, Quiet, Dominant, Happy, Protective",10,55.0,21.0
Toy,13.0,,Chinese Crested,78,https://cdn2.thedogapi.com/images/B1pDZx9Nm.jpg,14,13.0,"Ratting, lapdog, curio","Affectionate, Sweet-Tempered, Lively, Alert, Playful, Happy",10,10.0,11.0
Non-Sporting,60.0,,Chinese Shar-Pei,79,https://cdn2.thedogapi.com/images/B1ruWl94Q.jpg,10,20.0,Fighting,"Suspicious, Affectionate, Devoted, Reserved, Independent, Loving",10,45.0,18.0
Working,90.0,,Chinook,80,https://cdn2.thedogapi.com/images/Sypubg54Q.jpg,15,26.0,Sled pulling,"Friendly, Alert, Dignified, Intelligent, Calm",12,50.0,22.0
Non-Sporting,70.0,,Chow Chow,81,https://cdn2.thedogapi.com/images/ry8KWgqEQ.jpg,15,20.0,"Guardian, cart pulling, hunting","Aloof, Loyal, Independent, Quiet",12,40.0,17.0
Sporting,85.0,,Clumber Spaniel,84,https://cdn2.thedogapi.com/images/rkeqWgq4Q.jpg,12,20.0,"Bird flushing, retrieving","Affectionate, Loyal, Dignified, Gentle, Calm, Great-hearted",10,55.0,17.0
Sporting,30.0,,Cocker Spaniel,86,https://cdn2.thedogapi.com/images/1lFmrzECl.jpg,15,15.0,"Bird flushing, retrieving","Trainable, Friendly, Affectionate, Playful, Quiet, Faithful",12,20.0,14.0
Sporting,30.0,,Cocker Spaniel (American),87,https://cdn2.thedogapi.com/images/HkRcZe547.jpg,15,15.0,Hunting the American woodcock,"Outgoing, Sociable, Trusting, Joyful, Even Tempered, Merry",12,20.0,14.0
Non-Sporting,15.0,,Coton de Tulear,89,https://cdn2.thedogapi.com/images/SyviZlqNm.jpg,16,11.0,"Accompanying ladies on long sea voyages, ratters onboard ship.","Affectionate, Lively, Playful, Intelligent, Trainable, Vocal",13,9.0,9.0
Non-Sporting,55.0,,Dalmatian,92,https://cdn2.thedogapi.com/images/SkJ3blcN7.jpg,13,23.0,Carriage dog - trot alongside carriages to protect the occupants from banditry or other interference,"Outgoing, Friendly, Energetic, Playful, Sensitive, Intelligent, Active",10,50.0,19.0
Working,88.0,,Doberman Pinscher,94,https://cdn2.thedogapi.com/images/HyL3bl94Q.jpg,10,28.0,Guardian,"Fearless, Energetic, Alert, Loyal, Obedient, Confident, Intelligent",10,66.0,24.0
Working,100.0,,Dogo Argentino,95,https://cdn2.thedogapi.com/images/S1nhWx94Q.jpg,12,27.0,Big-game hunting,"Friendly, Affectionate, Cheerful, Loyal, Tolerant, Protective",10,80.0,23.5
,70.0,,Dutch Shepherd,98,https://cdn2.thedogapi.com/images/BkE6Wg5E7.jpg,15,24.5,"Farms, watchdog, guard duty","Reliable, Affectionate, Alert, Loyal, Obedient, Trainable",15,50.0,22.0
Sporting,80.0,,English Setter,101,https://cdn2.thedogapi.com/images/By4A-eqVX.jpg,12,25.0,"Bird setting, retrieving","Strong Willed, Mischievous, Affectionate, Energetic, Playful, Companionable, Gentle, Hard-working, Intelligent, Eager, People-Oriented",12,45.0,24.0
Working,66.0,,English Shepherd,102,https://cdn2.thedogapi.com/images/H1QyMe5EQ.jpg,13,23.0,"Herding & guarding livestock, farm watch dog","Kind, Energetic, Independent, Adaptable, Intelligent, Bossy",10,44.0,18.0
Sporting,50.0,,English Springer Spaniel,103,https://cdn2.thedogapi.com/images/Hk0Jfe5VQ.jpg,14,20.0,"Bird flushing, retrieving","Affectionate, Cheerful, Alert, Intelligent, Attentive, Active",12,35.0,19.0
Toy,14.0,,English Toy Spaniel,104,https://cdn2.thedogapi.com/images/SkIgzxqNQ.jpg,12,,Companion of kings,"Affectionate, Reserved, Playful, Gentle, Happy, Loving",10,8.0,10.0
,8.0,,English Toy Terrier,105,https://cdn2.thedogapi.com/images/SJ6eMxqEQ.jpg,13,12.0,Rat-baiting,"Stubborn, Alert, Companionable, Intelligent, Cunning, Trainable",12,6.0,10.0
Non-Sporting,70.0,,Eurasier,107,https://cdn2.thedogapi.com/images/S1VWGx9Nm.jpg,14,23.5,Companionship,"Alert, Reserved, Intelligent, Even Tempered, Watchful, Calm",12,40.0,20.5
Sporting,50.0,,Field Spaniel,108,https://cdn2.thedogapi.com/images/SkJfGecE7.jpg,15,18.0,"Bird flushing, retrieving","Docile, Cautious, Sociable, Sensitive, Adaptable, Familial",11,35.0,17.0
Herding,53.0,,Finnish Lapphund,110,https://cdn2.thedogapi.com/images/S1KMGg5Vm.jpg,15,21.0,Herding reindeer,"Friendly, Keen, Faithful, Calm, Courageous",12,33.0,16.0
Non-Sporting,28.0,,Finnish Spitz,111,https://cdn2.thedogapi.com/images/3PjHlQbkV.jpg,15,20.0,"Hunting birds, small mammals","Playful, Loyal, Independent, Intelligent, Happy, Vocal",12,23.0,15.5
Non-Sporting,28.0,,French Bulldog,113,https://cdn2.thedogapi.com/images/HyWNfxc47.jpg,11,12.0,Lapdog,"Playful, Affectionate, Keen, Sociable, Lively, Alert, Easygoing, Patient, Athletic, Bright",9,28.0,11.0
Working,45.0,,German Pinscher,114,https://cdn2.thedogapi.com/images/B1u4zgqE7.jpg,14,20.0,"Watchdog, Hunting vermin on the farm.","Spirited, Lively, Intelligent, Loving, Even Tempered, Familial",12,25.0,17.0
Herding,90.0,,German Shepherd Dog,115,https://cdn2.thedogapi.com/images/SJyBfg5NX.jpg,13,26.0,"Herding, Guard dog","Alert, Loyal, Obedient, Curious, Confident, Intelligent, Watchful, Courageous",10,50.0,22.0
Sporting,70.0,,German Shorthaired Pointer,116,https://cdn2.thedogapi.com/images/SJqBMg5Nm.jpg,14,25.0,General hunting,"Boisterous, Bold, Affectionate, Intelligent, Cooperative, Trainable",12,45.0,21.0
Working,90.0,,Giant Schnauzer,119,https://cdn2.thedogapi.com/images/H1NIzlcV7.jpg,12,27.5,"Herding, guarding","Strong Willed, Kind, Loyal, Intelligent, Dominant, Powerful",10,65.0,23.5
Terrier,40.0,,Glen of Imaal Terrier,120,https://cdn2.thedogapi.com/images/H1oLMe94m.jpg,15,14.0,"Rid the home and farm of vermin, and hunt badger and fox","Spirited, Agile, Loyal, Gentle, Active, Courageous",12,32.0,12.5
Sporting,75.0,,Golden Retriever,121,https://cdn2.thedogapi.com/images/HJ7Pzg5EQ.jpg,12,24.0,Retrieving,"Intelligent, Kind, Reliable, Friendly, Trustworthy, Confident",10,55.0,21.5
Sporting,80.0,,Gordon Setter,123,https://cdn2.thedogapi.com/images/SJ5vzx5NX.jpg,12,27.0,Find and point gamebirds,"Fearless, Alert, Loyal, Confident, Gay, Eager",10,45.0,23.0
Working,190.0,,Great Dane,124,https://cdn2.thedogapi.com/images/B1Edfl9NX.jpg,10,32.0,"Hunting & holding boars, Guardian","Friendly, Devoted, Reserved, Gentle, Confident, Loving",7,110.0,28.0
Working,115.0,,Great Pyrenees,125,https://cdn2.thedogapi.com/images/B12uzg9V7.png,12,32.0,Sheep guardian,"Strong Willed, Fearless, Affectionate, Patient, Gentle, Confident",10,85.0,25.0
Hound,70.0,,Greyhound,127,https://cdn2.thedogapi.com/images/ryNYMx94X.jpg,13,30.0,Coursing hares,"Affectionate, Athletic, Gentle, Intelligent, Quiet, Even Tempered",10,50.0,27.0
,12.0,,Griffon Bruxellois,128,https://cdn2.thedogapi.com/images/ryoYGec4Q.jpg,15,11.0,Hunt and kill vermin in stables,"Self-important, Inquisitive, Alert, Companionable, Sensitive, Watchful",10,12.0,9.0
Hound,60.0,,Harrier,129,https://cdn2.thedogapi.com/images/B1IcfgqE7.jpg,15,22.0,Hunting hares by trailing them,"Outgoing, Friendly, Cheerful, Sweet-Tempered, Tolerant, Active",12,40.0,18.0
Toy,13.0,,Havanese,130,https://cdn2.thedogapi.com/images/rkXiGl9V7.jpg,15,11.5,Companionship,"Affectionate, Responsive, Playful, Companionable, Gentle, Intelligent",14,7.0,8.5
Sporting,70.0,,Irish Setter,134,https://cdn2.thedogapi.com/images/S1osGeqVm.jpg,11,27.0,"Bird setting, retrieving","Affectionate, Energetic, Lively, Independent, Playful, Companionable",10,35.0,24.0
Terrier,27.0,,Irish Terrier,135,https://cdn2.thedogapi.com/images/By-hGecVX.jpg,16,,,"Respectful, Lively, Intelligent, Dominant, Protective, Trainable",12,25.0,18.0
Hound,180.0,,Irish Wolfhound,137,https://cdn2.thedogapi.com/images/Hyd2zgcEX.jpg,8,35.0,"Coursing wolves, elk","Sweet-Tempered, Loyal, Dignified, Patient, Thoughtful, Generous",6,105.0,30.0
Toy,15.0,,Italian Greyhound,138,https://cdn2.thedogapi.com/images/SJAnzg9NX.jpg,15,15.0,Lapdog,"Mischievous, Affectionate, Agile, Athletic, Companionable, Intelligent",12,7.0,13.0
Toy,9.0,,Japanese Chin,140,https://cdn2.thedogapi.com/images/r1H6feqEm.jpg,14,11.0,Lapdog,"Alert, Loyal, Independent, Intelligent, Loving, Cat-like",12,4.0,8.0
,19.0,,Japanese Spitz,141,https://cdn2.thedogapi.com/images/HksaMxqNX.jpg,16,15.0,Companion,"Affectionate, Obedient, Playful, Companionable, Intelligent, Proud",10,15.0,12.0
Non-Sporting,45.0,,Keeshond,142,https://cdn2.thedogapi.com/images/S1GAGg9Vm.jpg,15,18.0,Barge watchdog,"Agile, Obedient, Playful, Quick, Sturdy, Bright",12,35.0,17.0
Working,100.0,,Komondor,144,https://cdn2.thedogapi.com/images/Bko0fl547.jpg,12,27.5,Sheep guardian,"Steady, Fearless, Affectionate, Independent, Gentle, Calm",10,80.0,25.5
Sporting,30.0,,Kooikerhondje,145,https://cdn2.thedogapi.com/images/kOMy84GQE.jpg,15,16.0,"Luring ducks into traps - ""tolling""","Benevolent, Agile, Alert, Intelligent, Active, Territorial",12,20.0,14.0
Working,115.0,,Kuvasz,147,https://cdn2.thedogapi.com/images/BykZ7ecVX.jpg,10,30.0,"Guardian, hunting large game","Clownish, Loyal, Patient, Independent, Intelligent, Protective",8,70.0,26.0
Sporting,80.0,,Labrador Retriever,149,https://cdn2.thedogapi.com/images/B1uW7l5VX.jpg,13,24.5,Water retrieving,"Kind, Outgoing, Agile, Gentle, Intelligent, Trusting, Even Tempered",10,55.0,21.5
Sporting,35.0,,Lagotto Romagnolo,151,https://cdn2.thedogapi.com/images/ryzzmgqE7.jpg,16,19.0,Water retrieval dog in the marshes of Romagna,"Keen, Loyal, Companionable, Loving, Active, Trainable",14,24.0,16.0
,13.0,,Lancashire Heeler,153,https://cdn2.thedogapi.com/images/S1RGml5Em.jpg,15,12.0,"Cattle herding, Ratting, Driving cattle to market.","Clever, Friendly, Alert, Intelligent",12,6.0,10.0
Working,170.0,,Leonberger,155,https://cdn2.thedogapi.com/images/ByrmQlqVm.jpg,8,31.5,"Guardian, appearance.","Obedient, Fearless, Loyal, Companionable, Adaptable, Loving",6,120.0,25.5
Non-Sporting,18.0,,Lhasa Apso,156,https://cdn2.thedogapi.com/images/SJp7Qe5EX.jpg,15,11.0,"Guarding inside the home, companion","Steady, Fearless, Friendly, Devoted, Assertive, Spirited, Energetic, Lively, Alert, Obedient, Playful, Intelligent",12,12.0,10.0
Toy,7.0,,Maltese,161,https://cdn2.thedogapi.com/images/B1SV7gqN7.jpg,18,10.0,Lapdog,"Playful, Docile, Fearless, Affectionate, Sweet-Tempered, Lively, Responsive, Easygoing, Gentle, Intelligent, Active",15,4.0,8.0
Herding,40.0,,Miniature American Shepherd,165,https://cdn2.thedogapi.com/images/BkHHQgcN7.jpg,15,18.0,,"Energetic, Loyal, Intelligent, Trainable",12,20.0,13.0
Toy,11.0,,Miniature Pinscher,167,https://cdn2.thedogapi.com/images/Hy3H7g94X.jpg,15,12.5,Small vermin hunting,"Clever, Outgoing, Friendly, Energetic, Responsive, Playful",15,8.0,10.0
Terrier,20.0,,Miniature Schnauzer,168,https://cdn2.thedogapi.com/images/SJIUQl9NX.jpg,14,14.0,Ratting,"Fearless, Friendly, Spirited, Alert, Obedient, Intelligent",12,11.0,12.0
Working,150.0,,Newfoundland,171,https://cdn2.thedogapi.com/images/Sk4DXl54m.jpg,10,28.0,"All purpose water dog, fishing aid","Sweet-Tempered, Gentle, Trainable",8,100.0,26.0
Terrier,12.0,,Norfolk Terrier,172,https://cdn2.thedogapi.com/images/B1ADQg94X.jpg,15,10.0,"Ratting, fox bolting","Self-confidence, Fearless, Spirited, Companionable, Happy, Lovable",12,11.0,9.0
Terrier,12.0,,Norwich Terrier,176,https://cdn2.thedogapi.com/images/BkgKXlqE7.jpg,15,,"Ratting, fox bolting","Hardy, Affectionate, Energetic, Sensitive, Intelligent",12,11.0,10.0
Sporting,50.0,,Nova Scotia Duck Tolling Retriever,177,https://cdn2.thedogapi.com/images/SyYtQe5V7.jpg,14,21.0,,"Outgoing, Alert, Patient, Intelligent, Loving",12,35.0,17.0
Herding,100.0,,Old English Sheepdog,178,https://cdn2.thedogapi.com/images/HkZ57lq4m.jpg,12,,"Driving sheep, cattle","Sociable, Bubbly, Playful, Adaptable, Intelligent, Loving",10,60.0,21.0
,,,Olde English Bulldogge,179,https://cdn2.thedogapi.com/images/B1d5me547.jpg,14,19.0,,"Friendly, Alert, Confident, Loving, Courageous, Strong",9,,15.0
Toy,12.0,,Papillon,181,https://cdn2.thedogapi.com/images/SkJj7e547.jpg,17,11.0,Lapdog,"Hardy, Friendly, Energetic, Alert, Intelligent, Happy",13,3.0,8.0
Toy,14.0,,Pekingese,183,https://cdn2.thedogapi.com/images/ByIiml9Nm.jpg,18,9.0,Lapdog,"Opinionated, Good-natured, Stubborn, Affectionate, Aggressive, Intelligent",14,14.0,6.0
Herding,30.0,,Pembroke Welsh Corgi,184,https://cdn2.thedogapi.com/images/rJ6iQeqEm.jpg,14,12.0,Driving stock to market in northern Wales,"Tenacious, Outgoing, Friendly, Bold, Playful, Protective",12,25.0,10.0
Working,110.0,,Perro de Presa Canario,185,https://cdn2.thedogapi.com/images/S1V3Qeq4X.jpg,12,25.5,,"Strong Willed, Suspicious, Gentle, Dominant, Calm",10,88.0,22.0
Hound,60.0,,Pharaoh Hound,188,https://cdn2.thedogapi.com/images/Byz6mgqEQ.jpg,14,25.0,Hunting rabbits,"Affectionate, Sociable, Playful, Intelligent, Active, Trainable",12,40.0,21.0
Hound,60.0,,Plott,189,https://cdn2.thedogapi.com/images/B1i67l5VQ.jpg,14,25.0,Hunting big-game like Boar.,"Bold, Alert, Loyal, Intelligent",12,40.0,20.0
Toy,7.0,,Pomeranian,193,https://cdn2.thedogapi.com/images/HJd0XecNX.jpg,15,12.0,Companion,"Extroverted, Friendly, Sociable, Playful, Intelligent, Active",15,3.0,8.0
