id,breed_group,name,weight_lower,weight_upper,image_url,height_lower,height_upper,bred_for,temperament,life_span_lower,life_span_upper,avg_height,avg_weight,avg_life
26,,Barbet,40,65,https://cdn2.thedogapi.com/images/HyWGexcVQ.jpg,20,26,Hunting water game,"Obedient, Companionable, Intelligent, Joyful",13,15,23,52.5,14
28,Hound,Basenji,22,24,https://cdn2.thedogapi.com/images/H1dGlxqNQ.jpg,16,17,Hunting,"Affectionate, Energetic, Alert, Curious, Playful, Intelligent",10,12,16.5,23,11
29,Hound,Basset Bleu de Gascogne,35,40,https://cdn2.thedogapi.com/images/BkMQll94X.jpg,13,15,Hunting on foot.,"Affectionate, Lively, Agile, Curious, Happy, Active",10,14,14,37.5,12
30,Hound,Basset Hound,50,65,https://cdn2.thedogapi.com/images/Sy57xx9EX.jpg,14,,Hunting by scent,"Tenacious, Friendly, Affectionate, Devoted, Sweet-Tempered, Gentle",12,15,,57.5,13.5
31,Hound,Beagle,20,35,https://cdn2.thedogapi.com/images/Syd4xxqEm.jpg,13,15,"Rabbit, hare hunting","Amiable, Even Tempered, Excitable, Determined, Gentle, Intelligent",13,16,14,27.5,14.5
32,Herding,Bearded Collie,45,55,https://cdn2.thedogapi.com/images/A09F4c1qP.jpg,20,22,Sheep herding,"Self-confidence, Hardy, Lively, Alert, Intelligent, Active",12,14,21,50,13
33,Herding,Beauceron,80,110,https://cdn2.thedogapi.com/images/HJQ8ge5V7.jpg,24,27.5,"Boar herding, hunting, guarding","Fearless, Friendly, Intelligent, Protective, Calm",10,12,25.75,95,11
34,Terrier,Bedlington Terrier,17,23,https://cdn2.thedogapi.com/images/ByK8gx947.jpg,15,16,"Killing rat, badger, other vermin","Affectionate, Spirited, Intelligent, Good-tempered",14,16,15.5,20,15
36,Herding,Belgian Malinois,40,80,https://cdn2.thedogapi.com/images/r1f_ll5VX.jpg,22,26,Stock herding,"Watchful, Alert, Stubborn, Friendly, Confident, Hard-working, Active, Protective",12,14,24,60,13
38,Herding,Belgian Tervuren,40,65,https://cdn2.thedogapi.com/images/B1KdxlcNX.jpg,22,26,"Guarding, Drafting, Police work.","Energetic, Alert, Loyal, Intelligent, Attentive, Protective",10,12,24,52.5,11
41,Working,Bernese Mountain Dog,65,120,https://cdn2.thedogapi.com/images/S1fFlx5Em.jpg,23,27.5,Draft work,"Affectionate, Loyal, Intelligent, Faithful",7,10,25.25,92.5,8.5
42,Non-Sporting,Bichon Frise,10,18,https://cdn2.thedogapi.com/images/HkuYlxqEQ.jpg,9.5,11.5,Companion,"Feisty, Affectionate, Cheerful, Playful, Gentle, Sensitive",15,15,10.5,14,15
43,Hound,Black and Tan Coonhound,65,100,https://cdn2.thedogapi.com/images/HJAFgxcNQ.jpg,23,27,"Hunting raccoons, night hunting","Easygoing, Gentle, Adaptable, Trusting, Even Tempered, Lovable",10,12,25,82.5,11
45,Hound,Bloodhound,80,110,https://cdn2.thedogapi.com/images/Skdcgx9VX.jpg,23,27,Trailing,"Stubborn, Affectionate, Gentle, Even Tempered",8,10,25,95,9
47,Hound,Bluetick Coonhound,45,80,https://cdn2.thedogapi.com/images/rJxieg9VQ.jpg,21,27,Hunting with a superior sense of smell.,"Friendly, Intelligent, Active",12,14,24,62.5,13
48,Working,Boerboel,110,200,https://cdn2.thedogapi.com/images/HyOjge5Vm.jpg,22,27,"Guarding the homestead, farm work.","Obedient, Confident, Intelligent, Dominant, Territorial",10,12,24.5,155,11
50,Herding,Border Collie,30,45,https://cdn2.thedogapi.com/images/sGQvQUpsp.jpg,18,22,Sheep herder,"Tenacious, Keen, Energetic, Responsive, Alert, Intelligent",12,16,20,37.5,14
51,Terrier,Border Terrier,11.5,15.5,https://cdn2.thedogapi.com/images/HJOpge9Em.jpg,11,16,"Fox bolting, ratting","Fearless, Affectionate, Alert, Obedient, Intelligent, Even Tempered",12,14,13.5,13.5,13
53,Non-Sporting,Boston Terrier,10,25,https://cdn2.thedogapi.com/images/rkZRggqVX.jpg,16,17,"Ratting, Companionship","Friendly, Lively, Intelligent",11,13,16.5,17.5,12
54,Herding,Bouvier des Flandres,70,110,https://cdn2.thedogapi.com/images/Byd0xl5VX.jpg,23.5,27.5,Cattle herding,"Protective, Loyal, Gentle, Intelligent, Familial, Rational",10,15,25.5,90,12.5
55,Working,Boxer,50,70,https://cdn2.thedogapi.com/images/ry1kWe5VQ.jpg,21.5,25,"Bull-baiting, guardian","Devoted, Fearless, Friendly, Cheerful, Energetic, Loyal, Playful, Confident, Intelligent, Bright, Brave, Calm",8,10,23.25,60,9
56,Sporting,Boykin Spaniel,25,40,https://cdn2.thedogapi.com/images/ryHJZlcNX.jpg,14,18,Turkey retrieving,"Friendly, Energetic, Companionable, Intelligent, Eager, Trainable",10,14,16,32.5,12
57,Sporting,Bracco Italiano,55,88,https://cdn2.thedogapi.com/images/S13yZg5VQ.jpg,21.5,26.5,Versatile gun dog,"Stubborn, Affectionate, Loyal, Playful, Companionable, Trainable",10,12,24,71.5,11
58,Herding,Briard,70,90,https://cdn2.thedogapi.com/images/rkVlblcEQ.jpg,22,27,"Herding, guarding sheep","Fearless, Loyal, Obedient, Intelligent, Faithful, Protective",10,12,24.5,80,11
59,Sporting,Brittany,30,45,https://cdn2.thedogapi.com/images/HJWZZxc4X.jpg,17.5,20.5,"Pointing, retrieving","Agile, Adaptable, Quick, Intelligent, Attentive, Happy",12,14,19,37.5,13
61,Terrier,Bull Terrier,50,70,https://cdn2.thedogapi.com/images/VSraIEQGd.jpg,21,22,"Bull baiting, Fighting","Trainable, Protective, Sweet-Tempered, Keen, Active",10,12,21.5,60,11
62,,Bull Terrier (Miniature),25,33,https://cdn2.thedogapi.com/images/BkKZWlcVX.jpg,10,14,An elegant man's fashion statement,"Trainable, Protective, Sweet-Tempered, Keen, Active, Territorial",11,14,12,29,12.5
64,Working,Bullmastiff,100,130,https://cdn2.thedogapi.com/images/r1ifZl5E7.jpg,24,27,Estate guardian,"Docile, Reliable, Devoted, Alert, Loyal, Reserved, Loving, Protective, Powerful, Calm, Courageous",8,12,25.5,115,10
65,Terrier,Cairn Terrier,13,14,https://cdn2.thedogapi.com/images/Sk7Qbg9E7.jpg,9,10,"Bolting of otter, foxes, other vermin","Hardy, Fearless, Assertive, Gay, Intelligent, Active",14,15,9.5,13.5,14.5
67,Working,Cane Corso,88,120,https://cdn2.thedogapi.com/images/r15m-lc4m.jpg,23.5,27.5,"Companion, guard dog, and hunter","Trainable, Reserved, Stable, Quiet, Even Tempered, Calm",10,11,25.5,104,10.5
68,Herding,Cardigan Welsh Corgi,25,38,https://cdn2.thedogapi.com/images/SyXN-e9NX.jpg,10.5,12.5,Cattle droving,"Affectionate, Devoted, Alert, Companionable, Intelligent, Active",12,14,11.5,31.5,13
69,Herding,Catahoula Leopard Dog,50,95,https://cdn2.thedogapi.com/images/BJcNbec4X.jpg,20,26,Driving livestock,"Energetic, Inquisitive, Independent, Gentle, Intelligent, Loving",10,12,23,72.5,11
70,Working,Caucasian Shepherd (Ovcharka),80,100,https://cdn2.thedogapi.com/images/r1rrWe5Em.jpg,24,33.5,"Guard dogs, defending sheep from predators, mainly wolves, jackals and bears","Alert, Quick, Dominant, Powerful, Calm, Strong",10,12,28.75,90,11
71,Toy,Cavalier King Charles Spaniel,13,18,https://cdn2.thedogapi.com/images/HJRBbe94Q.jpg,12,13,"Flushing small birds, companion","Fearless, Affectionate, Sociable, Patient, Playful, Adaptable",10,14,12.5,15.5,12
76,Sporting,Chesapeake Bay Retriever,55,80,https://cdn2.thedogapi.com/images/9BXwUeCc2.jpg,21,26,Water Retriever,"Affectionate, Intelligent, Quiet, Dominant, Happy, Protective",10,13,23.5,67.5,11.5
78,Toy,Chinese Crested,10,13,https://cdn2.thedogapi.com/images/B1pDZx9Nm.jpg,11,13,"Ratting, lapdog, curio","Affectionate, Sweet-Tempered, Lively, Alert, Playful, Happy",10,14,12,11.5,12
79,Non-Sporting,Chinese Shar-Pei,45,60,https://cdn2.thedogapi.com/images/B1ruWl94Q.jpg,18,20,Fighting,"Suspicious, Affectionate, Devoted, Reserved, Independent, Loving",10,10,19,52.5,10
80,Working,Chinook,50,90,https://cdn2.thedogapi.com/images/Sypubg54Q.jpg,22,26,Sled pulling,"Friendly, Alert, Dignified, Intelligent, Calm",12,15,24,70,13.5
81,Non-Sporting,Chow Chow,40,70,https://cdn2.thedogapi.com/images/ry8KWgqEQ.jpg,17,20,"Guardian, cart pulling, hunting","Aloof, Loyal, Independent, Quiet",12,15,18.5,55,13.5
84,Sporting,Clumber Spaniel,55,85,https://cdn2.thedogapi.com/images/rkeqWgq4Q.jpg,17,20,"Bird flushing, retrieving","Affectionate, Loyal, Dignified, Gentle, Calm, Great-hearted",10,12,18.5,70,11
86,Sporting,Cocker Spaniel,20,30,https://cdn2.thedogapi.com/images/1lFmrzECl.jpg,14,15,"Bird flushing, retrieving","Trainable, Friendly, Affectionate, Playful, Quiet, Faithful",12,15,14.5,25,13.5
87,Sporting,Cocker Spaniel (American),20,30,https://cdn2.thedogapi.com/images/HkRcZe547.jpg,14,15,Hunting the American woodcock,"Outgoing, Sociable, Trusting, Joyful, Even Tempered, Merry",12,15,14.5,25,13.5
89,Non-Sporting,Coton de Tulear,9,15,https://cdn2.thedogapi.com/images/SyviZlqNm.jpg,9,11,"Accompanying ladies on long sea voyages, ratters onboard ship.","Affectionate, Lively, Playful, Intelligent, Trainable, Vocal",13,16,10,12,14.5
92,Non-Sporting,Dalmatian,50,55,https://cdn2.thedogapi.com/images/SkJ3blcN7.jpg,19,23,Carriage dog - trot alongside carriages to protect the occupants from banditry or other interference,"Outgoing, Friendly, Energetic, Playful, Sensitive, Intelligent, Active",10,13,21,52.5,11.5
94,Working,Doberman Pinscher,66,88,https://cdn2.thedogapi.com/images/HyL3bl94Q.jpg,24,28,Guardian,"Fearless, Energetic, Alert, Loyal, Obedient, Confident, Intelligent",10,10,26,77,10
95,Working,Dogo Argentino,80,100,https://cdn2.thedogapi.com/images/S1nhWx94Q.jpg,23.5,27,Big-game hunting,"Friendly, Affectionate, Cheerful, Loyal, Tolerant, Protective",10,12,25.25,90,11
98,,Dutch Shepherd,50,70,https://cdn2.thedogapi.com/images/BkE6Wg5E7.jpg,22,24.5,"Farms, watchdog, guard duty","Reliable, Affectionate, Alert, Loyal, Obedient, Trainable",15,15,23.25,60,15
101,Sporting,English Setter,45,80,https://cdn2.thedogapi.com/images/By4A-eqVX.jpg,24,25,"Bird setting, retrieving","Strong Willed, Mischievous, Affectionate, Energetic, Playful, Companionable, Gentle, Hard-working, Intelligent, Eager, People-Oriented",12,12,24.5,62.5,12
102,Working,English Shepherd,44,66,https://cdn2.thedogapi.com/images/H1QyMe5EQ.jpg,18,23,"Herding & guarding livestock, farm watch dog","Kind, Energetic, Independent, Adaptable, Intelligent, Bossy",10,13,20.5,55,11.5
103,Sporting,English Springer Spaniel,35,50,https://cdn2.thedogapi.com/images/Hk0Jfe5VQ.jpg,19,20,"Bird flushing, retrieving","Affectionate, Cheerful, Alert, Intelligent, Attentive, Active",12,14,19.5,42.5,13
104,Toy,English Toy Spaniel,8,14,https://cdn2.thedogapi.com/images/SkIgzxqNQ.jpg,10,,Companion of kings,"Affectionate, Reserved, Playful, Gentle, Happy, Loving",10,12,,11,11
105,,English Toy Terrier,6,8,https://cdn2.thedogapi.com/images/SJ6eMxqEQ.jpg,10,12,Rat-baiting,"Stubborn, Alert, Companionable, Intelligent, Cunning, Trainable",12,13,11,7,12.5
107,Non-Sporting,Eurasier,40,70,https://cdn2.thedogapi.com/images/S1VWGx9Nm.jpg,20.5,23.5,Companionship,"Alert, Reserved, Intelligent, Even Tempered, Watchful, Calm",12,14,22,55,13
108,Sporting,Field Spaniel,35,50,https://cdn2.thedogapi.com/images/SkJfGecE7.jpg,17,18,"Bird flushing, retrieving","Docile, Cautious, Sociable, Sensitive, Adaptable, Familial",11,15,17.5,42.5,13
110,Herding,Finnish Lapphund,33,53,https://cdn2.thedogapi.com/images/S1KMGg5Vm.jpg,16,21,Herding reindeer,"Friendly, Keen, Faithful, Calm, Courageous",12,15,18.5,43,13.5
111,Non-Sporting,Finnish Spitz,23,28,https://cdn2.thedogapi.com/images/3PjHlQbkV.jpg,15.5,20,"Hunting birds, small mammals","Playful, Loyal, Independent, Intelligent, Happy, Vocal",12,15,17.75,25.5,13.5
113,Non-Sporting,French Bulldog,28,28,https://cdn2.thedogapi.com/images/HyWNfxc47.jpg,11,12,Lapdog,"Playful, Affectionate, Keen, Sociable, Lively, Alert, Easygoing, Patient, Athletic, Bright",9,11,11.5,28,10
114,Working,German Pinscher,25,45,https://cdn2.thedogapi.com/images/B1u4zgqE7.jpg,17,20,"Watchdog, Hunting vermin on the farm.","Spirited, Lively, Intelligent, Loving, Even Tempered, Familial",12,14,18.5,35,13
115,Herding,German Shepherd Dog,50,90,https://cdn2.thedogapi.com/images/SJyBfg5NX.jpg,22,26,"Herding, Guard dog","Alert, Loyal, Obedient, Curious, Confident, Intelligent, Watchful, Courageous",10,13,24,70,11.5
116,Sporting,German Shorthaired Pointer,45,70,https://cdn2.thedogapi.com/images/SJqBMg5Nm.jpg,21,25,General hunting,"Boisterous, Bold, Affectionate, Intelligent, Cooperative, Trainable",12,14,23,57.5,13
119,Working,Giant Schnauzer,65,90,https://cdn2.thedogapi.com/images/H1NIzlcV7.jpg,23.5,27.5,"Herding, guarding","Strong Willed, Kind, Loyal, Intelligent, Dominant, Powerful",10,12,25.5,77.5,11
120,Terrier,Glen of Imaal Terrier,32,40,https://cdn2.thedogapi.com/images/H1oLMe94m.jpg,12.5,14,"Rid the home and farm of vermin, and hunt badger and fox","Spirited, Agile, Loyal, Gentle, Active, Courageous",12,15,13.25,36,13.5
121,Sporting,Golden Retriever,55,75,https://cdn2.thedogapi.com/images/HJ7Pzg5EQ.jpg,21.5,24,Retrieving,"Intelligent, Kind, Reliable, Friendly, Trustworthy, Confident",10,12,22.75,65,11
123,Sporting,Gordon Setter,45,80,https://cdn2.thedogapi.com/images/SJ5vzx5NX.jpg,23,27,Find and point gamebirds,"Fearless, Alert, Loyal, Confident, Gay, Eager",10,12,25,62.5,11
124,Working,Great Dane,110,190,https://cdn2.thedogapi.com/images/B1Edfl9NX.jpg,28,32,"Hunting & holding boars, Guardian","Friendly, Devoted, Reserved, Gentle, Confident, Loving",7,10,30,150,8.5
125,Working,Great Pyrenees,85,115,https://cdn2.thedogapi.com/images/B12uzg9V7.png,25,32,Sheep guardian,"Strong Willed, Fearless, Affectionate, Patient, Gentle, Confident",10,12,28.5,100,11
127,Hound,Greyhound,50,70,https://cdn2.thedogapi.com/images/ryNYMx94X.jpg,27,30,Coursing hares,"Affectionate, Athletic, Gentle, Intelligent, Quiet, Even Tempered",10,13,28.5,60,11.5
128,,Griffon Bruxellois,12,12,https://cdn2.thedogapi.com/images/ryoYGec4Q.jpg,9,11,Hunt and kill vermin in stables,"Self-important, Inquisitive, Alert, Companionable, Sensitive, Watchful",10,15,10,12,12.5
129,Hound,Harrier,40,60,https://cdn2.thedogapi.com/images/B1IcfgqE7.jpg,18,22,Hunting hares by trailing them,"Outgoing, Friendly, Cheerful, Sweet-Tempered, Tolerant, Active",12,15,20,50,13.5
130,Toy,Havanese,7,13,https://cdn2.thedogapi.com/images/rkXiGl9V7.jpg,8.5,11.5,Companionship,"Affectionate, Responsive, Playful, Companionable, Gentle, Intelligent",14,15,10,10,14.5
134,Sporting,Irish Setter,35,70,https://cdn2.thedogapi.com/images/S1osGeqVm.jpg,24,27,"Bird setting, retrieving","Affectionate, Energetic, Lively, Independent, Playful, Companionable",10,11,25.5,52.5,10.5
135,Terrier,Irish Terrier,25,27,https://cdn2.thedogapi.com/images/By-hGecVX.jpg,18,,,"Respectful, Lively, Intelligent, Dominant, Protective, Trainable",12,16,,26,14
137,Hound,Irish Wolfhound,105,180,https://cdn2.thedogapi.com/images/Hyd2zgcEX.jpg,30,35,"Coursing wolves, elk","Sweet-Tempered, Loyal, Dignified, Patient, Thoughtful, Generous",6,8,32.5,142.5,7
138,Toy,Italian Greyhound,7,15,https://cdn2.thedogapi.com/images/SJAnzg9NX.jpg,13,15,Lapdog,"Mischievous, Affectionate, Agile, Athletic, Companionable, Intelligent",12,15,14,11,13.5
140,Toy,Japanese Chin,4,9,https://cdn2.thedogapi.com/images/r1H6feqEm.jpg,8,11,Lapdog,"Alert, Loyal, Independent, Intelligent, Loving, Cat-like",12,14,9.5,6.5,13
141,,Japanese Spitz,15,19,https://cdn2.thedogapi.com/images/HksaMxqNX.jpg,12,15,Companion,"Affectionate, Obedient, Playful, Companionable, Intelligent, Proud",10,16,13.5,17,13
142,Non-Sporting,Keeshond,35,45,https://cdn2.thedogapi.com/images/S1GAGg9Vm.jpg,17,18,Barge watchdog,"Agile, Obedient, Playful, Quick, Sturdy, Bright",12,15,17.5,40,13.5
144,Working,Komondor,80,100,https://cdn2.thedogapi.com/images/Bko0fl547.jpg,25.5,27.5,Sheep guardian,"Steady, Fearless, Affectionate, Independent, Gentle, Calm",10,12,26.5,90,11
145,Sporting,Kooikerhondje,20,30,https://cdn2.thedogapi.com/images/kOMy84GQE.jpg,14,16,"Luring ducks into traps - ""tolling""","Benevolent, Agile, Alert, Intelligent, Active, Territorial",12,15,15,25,13.5
147,Working,Kuvasz,70,115,https://cdn2.thedogapi.com/images/BykZ7ecVX.jpg,26,30,"Guardian, hunting large game","Clownish, Loyal, Patient, Independent, Intelligent, Protective",8,10,28,92.5,9
149,Sporting,Labrador Retriever,55,80,https://cdn2.thedogapi.com/images/B1uW7l5VX.jpg,21.5,24.5,Water retrieving,"Kind, Outgoing, Agile, Gentle, Intelligent, Trusting, Even Tempered",10,13,23,67.5,11.5
151,Sporting,Lagotto Romagnolo,24,35,https://cdn2.thedogapi.com/images/ryzzmgqE7.jpg,16,19,Water retrieval dog in the marshes of Romagna,"Keen, Loyal, Companionable, Loving, Active, Trainable",14,16,17.5,29.5,15
153,,Lancashire Heeler,6,13,https://cdn2.thedogapi.com/images/S1RGml5Em.jpg,10,12,"Cattle herding, Ratting, Driving cattle to market.","Clever, Friendly, Alert, Intelligent",12,15,11,9.5,13.5
155,Working,Leonberger,120,170,https://cdn2.thedogapi.com/images/ByrmQlqVm.jpg,25.5,31.5,"Guardian, appearance.","Obedient, Fearless, Loyal, Companionable, Adaptable, Loving",6,8,28.5,145,7
156,Non-Sporting,Lhasa Apso,12,18,https://cdn2.thedogapi.com/images/SJp7Qe5EX.jpg,10,11,"Guarding inside the home, companion","Steady, Fearless, Friendly, Devoted, Assertive, Spirited, Energetic, Lively, Alert, Obedient, Playful, Intelligent",12,15,10.5,15,13.5
161,Toy,Maltese,4,7,https://cdn2.thedogapi.com/images/B1SV7gqN7.jpg,8,10,Lapdog,"Playful, Docile, Fearless, Affectionate, Sweet-Tempered, Lively, Responsive, Easygoing, Gentle, Intelligent, Active",15,18,9,5.5,16.5
165,Herding,Miniature American Shepherd,20,40,https://cdn2.thedogapi.com/images/BkHHQgcN7.jpg,13,18,,"Energetic, Loyal, Intelligent, Trainable",12,15,15.5,30,13.5
167,Toy,Miniature Pinscher,8,11,https://cdn2.thedogapi.com/images/Hy3H7g94X.jpg,10,12.5,Small vermin hunting,"Clever, Outgoing, Friendly, Energetic, Responsive, Playful",15,15,11.25,9.5,15
168,Terrier,Miniature Schnauzer,11,20,https://cdn2.thedogapi.com/images/SJIUQl9NX.jpg,12,14,Ratting,"Fearless, Friendly, Spirited, Alert, Obedient, Intelligent",12,14,13,15.5,13
171,Working,Newfoundland,100,150,https://cdn2.thedogapi.com/images/Sk4DXl54m.jpg,26,28,"All purpose water dog, fishing aid","Sweet-Tempered, Gentle, Trainable",8,10,27,125,9
172,Terrier,Norfolk Terrier,11,12,https://cdn2.thedogapi.com/images/B1ADQg94X.jpg,9,10,"Ratting, fox bolting","Self-confidence, Fearless, Spirited, Companionable, Happy, Lovable",12,15,9.5,11.5,13.5
176,Terrier,Norwich Terrier,11,12,https://cdn2.thedogapi.com/images/BkgKXlqE7.jpg,10,,"Ratting, fox bolting","Hardy, Affectionate, Energetic, Sensitive, Intelligent",12,15,,11.5,13.5
177,Sporting,Nova Scotia Duck Tolling Retriever,35,50,https://cdn2.thedogapi.com/images/SyYtQe5V7.jpg,17,21,,"Outgoing, Alert, Patient, Intelligent, Loving",12,14,19,42.5,13
178,Herding,Old English Sheepdog,60,100,https://cdn2.thedogapi.com/images/HkZ57lq4m.jpg,21,,"Driving sheep, cattle","Sociable, Bubbly, Playful, Adaptable, Intelligent, Loving",10,12,,80,11
179,,Olde English Bulldogge,,,https://cdn2.thedogapi.com/images/B1d5me547.jpg,15,19,,"Friendly, Alert, Confident, Loving, Courageous, Strong",9,14,17,,11.5
181,Toy,Papillon,3,12,https://cdn2.thedogapi.com/images/SkJj7e547.jpg,8,11,Lapdog,"Hardy, Friendly, Energetic, Alert, Intelligent, Happy",13,17,9.5,7.5,15
183,Toy,Pekingese,14,14,https://cdn2.thedogapi.com/images/ByIiml9Nm.jpg,6,9,Lapdog,"Opinionated, Good-natured, Stubborn, Affectionate, Aggressive, Intelligent",14,18,7.5,14,16
184,Herding,Pembroke Welsh Corgi,25,30,https://cdn2.thedogapi.com/images/rJ6iQeqEm.jpg,10,12,Driving stock to market in northern Wales,"Tenacious, Outgoing, Friendly, Bold, Playful, Protective",12,14,11,27.5,13
185,Working,Perro de Presa Canario,88,110,https://cdn2.thedogapi.com/images/S1V3Qeq4X.jpg,22,25.5,,"Strong Willed, Suspicious, Gentle, Dominant, Calm",10,12,23.75,99,11
188,Hound,Pharaoh Hound,40,60,https://cdn2.thedogapi.com/images/Byz6mgqEQ.jpg,21,25,Hunting rabbits,"Affectionate, Sociable, Playful, Intelligent, Active, Trainable",12,14,23,50,13
189,Hound,Plott,40,60,https://cdn2.thedogapi.com/images/B1i67l5VQ.jpg,20,25,Hunting big-game like Boar.,"Bold, Alert, Loyal, Intelligent",12,14,22.5,50,13
193,Toy,Pomeranian,3,7,https://cdn2.thedogapi.com/images/HJd0XecNX.jpg,8,12,Companion,"Extroverted, Friendly, Sociable, Playful, Intelligent, Active",15,15,10,5,15
196,,Poodle (Miniature),15,17,https://cdn2.thedogapi.com/images/Hkxk4ecVX.jpg,11,15,,,12,15,13,16,13.5
197,,Poodle (Toy),6,9,https://cdn2.thedogapi.com/images/rJFJVxc4m.jpg,9,11,,,18,18,10,7.5,18
