name,life_span_lower,life_span_upper,id,weight_upper,bred_for,height_upper,image_url,description,weight_lower,breed_group,height_lower,temperament
Australian Kelpie,10,13,22,46.0,"Farm dog, Cattle herding",20.0,https://cdn2.thedogapi.com/images/Hyq1ge9VQ.jpg,,31.0,Herding,17.0,"Friendly, Energetic, Alert, Loyal, Intelligent, Eager"
Australian Shepherd,12,16,23,65.0,Sheep herding,23.0,https://cdn2.thedogapi.com/images/B1-llgq4m.jpg,,35.0,Herding,18.0,"Good-natured, Affectionate, Intelligent, Active, Protective"
Australian Terrier,15,15,24,16.0,"Cattle herdering, hunting snakes and rodents",11.0,https://cdn2.thedogapi.com/images/r1Ylge5Vm.jpg,,14.0,Terrier,10.0,"Spirited, Alert, Loyal, Companionable, Even Tempered, Courageous"
Azawakh,10,13,25,55.0,"Livestock guardian, hunting",29.0,https://cdn2.thedogapi.com/images/SkvZgx94m.jpg,,33.0,Hound,23.0,"Aloof, Affectionate, Attentive, Rugged, Fierce, Refined"
Barbet,13,15,26,65.0,Hunting water game,26.0,https://cdn2.thedogapi.com/images/HyWGexcVQ.jpg,,40.0,,20.0,"Obedient, Companionable, Intelligent, Joyful"
Basenji,10,12,28,24.0,Hunting,17.0,https://cdn2.thedogapi.com/images/H1dGlxqNQ.jpg,,22.0,Hound,16.0,"Affectionate, Energetic, Alert, Curious, Playful, Intelligent"
Basset Bleu de Gascogne,10,14,29,40.0,Hunting on foot.,15.0,https://cdn2.thedogapi.com/images/BkMQll94X.jpg,,35.0,Hound,13.0,"Affectionate, Lively, Agile, Curious, Happy, Active"
Basset Hound,12,15,30,65.0,Hunting by scent,,https://cdn2.thedogapi.com/images/Sy57xx9EX.jpg,,50.0,Hound,14.0,"Tenacious, Friendly, Affectionate, Devoted, Sweet-Tempered, Gentle"
Beagle,13,16,31,35.0,"Rabbit, hare hunting",15.0,https://cdn2.thedogapi.com/images/Syd4xxqEm.jpg,,20.0,Hound,13.0,"Amiable, Even Tempered, Excitable, Determined, Gentle, Intelligent"
Bearded Collie,12,14,32,55.0,Sheep herding,22.0,https://cdn2.thedogapi.com/images/A09F4c1qP.jpg,,45.0,Herding,20.0,"Self-confidence, Hardy, Lively, Alert, Intelligent, Active"
Beauceron,10,12,33,110.0,"Boar herding, hunting, guarding",27.5,https://cdn2.thedogapi.com/images/HJQ8ge5V7.jpg,,80.0,Herding,24.0,"Fearless, Friendly, Intelligent, Protective, Calm"
Bedlington Terrier,14,16,34,23.0,"Killing rat, badger, other vermin",16.0,https://cdn2.thedogapi.com/images/ByK8gx947.jpg,,17.0,Terrier,15.0,"Affectionate, Spirited, Intelligent, Good-tempered"
Belgian Malinois,12,14,36,80.0,Stock herding,26.0,https://cdn2.thedogapi.com/images/r1f_ll5VX.jpg,,40.0,Herding,22.0,"Watchful, Alert, Stubborn, Friendly, Confident, Hard-working, Active, Protective"
Belgian Tervuren,10,12,38,65.0,"Guarding, Drafting, Police work.",26.0,https://cdn2.thedogapi.com/images/B1KdxlcNX.jpg,,40.0,Herding,22.0,"Energetic, Alert, Loyal, Intelligent, Attentive, Protective"
Bernese Mountain Dog,7,10,41,120.0,Draft work,27.5,https://cdn2.thedogapi.com/images/S1fFlx5Em.jpg,,65.0,Working,23.0,"Affectionate, Loyal, Intelligent, Faithful"
Bichon Frise,15,15,42,18.0,Companion,11.5,https://cdn2.thedogapi.com/images/HkuYlxqEQ.jpg,,10.0,Non-Sporting,9.5,"Feisty, Affectionate, Cheerful, Playful, Gentle, Sensitive"
Black and Tan Coonhound,10,12,43,100.0,"Hunting raccoons, night hunting",27.0,https://cdn2.thedogapi.com/images/HJAFgxcNQ.jpg,,65.0,Hound,23.0,"Easygoing, Gentle, Adaptable, Trusting, Even Tempered, Lovable"
Bloodhound,8,10,45,110.0,Trailing,27.0,https://cdn2.thedogapi.com/images/Skdcgx9VX.jpg,,80.0,Hound,23.0,"Stubborn, Affectionate, Gentle, Even Tempered"
Bluetick Coonhound,12,14,47,80.0,Hunting with a superior sense of smell.,27.0,https://cdn2.thedogapi.com/images/rJxieg9VQ.jpg,,45.0,Hound,21.0,"Friendly, Intelligent, Active"
Boerboel,10,12,48,200.0,"Guarding the homestead, farm work.",27.0,https://cdn2.thedogapi.com/images/HyOjge5Vm.jpg,,110.0,Working,22.0,"Obedient, Confident, Intelligent, Dominant, Territorial"
Border Collie,12,16,50,45.0,Sheep herder,22.0,https://cdn2.thedogapi.com/images/sGQvQUpsp.jpg,,30.0,Herding,18.0,"Tenacious, Keen, Energetic, Responsive, Alert, Intelligent"
Border Terrier,12,14,51,15.5,"Fox bolting, ratting",16.0,https://cdn2.thedogapi.com/images/HJOpge9Em.jpg,,11.5,Terrier,11.0,"Fearless, Affectionate, Alert, Obedient, Intelligent, Even Tempered"
Boston Terrier,11,13,53,25.0,"Ratting, Companionship",17.0,https://cdn2.thedogapi.com/images/rkZRggqVX.jpg,,10.0,Non-Sporting,16.0,"Friendly, Lively, Intelligent"
Bouvier des Flandres,10,15,54,110.0,Cattle herding,27.5,https://cdn2.thedogapi.com/images/Byd0xl5VX.jpg,,70.0,Herding,23.5,"Protective, Loyal, Gentle, Intelligent, Familial, Rational"
Boxer,8,10,55,70.0,"Bull-baiting, guardian",25.0,https://cdn2.thedogapi.com/images/ry1kWe5VQ.jpg,,50.0,Working,21.5,"Devoted, Fearless, Friendly, Cheerful, Energetic, Loyal, Playful, Confident, Intelligent, Bright, Brave, Calm"
Boykin Spaniel,10,14,56,40.0,Turkey retrieving,18.0,https://cdn2.thedogapi.com/images/ryHJZlcNX.jpg,,25.0,Sporting,14.0,"Friendly, Energetic, Companionable, Intelligent, Eager, Trainable"
Bracco Italiano,10,12,57,88.0,Versatile gun dog,26.5,https://cdn2.thedogapi.com/images/S13yZg5VQ.jpg,,55.0,Sporting,21.5,"Stubborn, Affectionate, Loyal, Playful, Companionable, Trainable"
Briard,10,12,58,90.0,"Herding, guarding sheep",27.0,https://cdn2.thedogapi.com/images/rkVlblcEQ.jpg,,70.0,Herding,22.0,"Fearless, Loyal, Obedient, Intelligent, Faithful, Protective"
Brittany,12,14,59,45.0,"Pointing, retrieving",20.5,https://cdn2.thedogapi.com/images/HJWZZxc4X.jpg,,30.0,Sporting,17.5,"Agile, Adaptable, Quick, Intelligent, Attentive, Happy"
Bull Terrier,10,12,61,70.0,"Bull baiting, Fighting",22.0,https://cdn2.thedogapi.com/images/VSraIEQGd.jpg,,50.0,Terrier,21.0,"Trainable, Protective, Sweet-Tempered, Keen, Active"
Bull Terrier (Miniature),11,14,62,33.0,An elegant man's fashion statement,14.0,https://cdn2.thedogapi.com/images/BkKZWlcVX.jpg,,25.0,,10.0,"Trainable, Protective, Sweet-Tempered, Keen, Active, Territorial"
Bullmastiff,8,12,64,130.0,Estate guardian,27.0,https://cdn2.thedogapi.com/images/r1ifZl5E7.jpg,,100.0,Working,24.0,"Docile, Reliable, Devoted, Alert, Loyal, Reserved, Loving, Protective, Powerful, Calm, Courageous"
Cairn Terrier,14,15,65,14.0,"Bolting of otter, foxes, other vermin",10.0,https://cdn2.thedogapi.com/images/Sk7Qbg9E7.jpg,,13.0,Terrier,9.0,"Hardy, Fearless, Assertive, Gay, Intelligent, Active"
Cane Corso,10,11,67,120.0,"Companion, guard dog, and hunter",27.5,https://cdn2.thedogapi.com/images/r15m-lc4m.jpg,,88.0,Working,23.5,"Trainable, Reserved, Stable, Quiet, Even Tempered, Calm"
Cardigan Welsh Corgi,12,14,68,38.0,Cattle droving,12.5,https://cdn2.thedogapi.com/images/SyXN-e9NX.jpg,,25.0,Herding,10.5,"Affectionate, Devoted, Alert, Companionable, Intelligent, Active"
Catahoula Leopard Dog,10,12,69,95.0,Driving livestock,26.0,https://cdn2.thedogapi.com/images/BJcNbec4X.jpg,,50.0,Herding,20.0,"Energetic, Inquisitive, Independent, Gentle, Intelligent, Loving"
Caucasian Shepherd (Ovcharka),10,12,70,100.0,"Guard dogs, defending sheep from predators, mainly wolves, jackals and bears",33.5,https://cdn2.thedogapi.com/images/r1rrWe5Em.jpg,,80.0,Working,24.0,"Alert, Quick, Dominant, Powerful, Calm, Strong"
Cavalier King Charles Spaniel,10,14,71,18.0,"Flushing small birds, companion",13.0,https://cdn2.thedogapi.com/images/HJRBbe94Q.jpg,,13.0,Toy,12.0,"Fearless, Affectionate, Sociable, Patient, Playful, Adaptable"
Chesapeake Bay Retriever,10,13,76,80.0,Water Retriever,26.0,https://cdn2.thedogapi.com/images/9BXwUeCc2.jpg,,55.0,Sporting,21.0,"Affectionate, Intelligent, Quiet, Dominant, Happy, Protective"
Chinese Crested,10,14,78,13.0,"Ratting, lapdog, curio",13.0,https://cdn2.thedogapi.com/images/B1pDZx9Nm.jpg,,10.0,Toy,11.0,"Affectionate, Sweet-Tempered, Lively, Alert, Playful, Happy"
Chinese Shar-Pei,10,10,79,60.0,Fighting,20.0,https://cdn2.thedogapi.com/images/B1ruWl94Q.jpg,,45.0,Non-Sporting,18.0,"Suspicious, Affectionate, Devoted, Reserved, Independent, Loving"
Chinook,12,15,80,90.0,Sled pulling,26.0,https://cdn2.thedogapi.com/images/Sypubg54Q.jpg,,50.0,Working,22.0,"Friendly, Alert, Dignified, Intelligent, Calm"
Chow Chow,12,15,81,70.0,"Guardian, cart pulling, hunting",20.0,https://cdn2.thedogapi.com/images/ry8KWgqEQ.jpg,,40.0,Non-Sporting,17.0,"Aloof, Loyal, Independent, Quiet"
Clumber Spaniel,10,12,84,85.0,"Bird flushing, retrieving",20.0,https://cdn2.thedogapi.com/images/rkeqWgq4Q.jpg,,55.0,Sporting,17.0,"Affectionate, Loyal, Dignified, Gentle, Calm, Great-hearted"
Cocker Spaniel,12,15,86,30.0,"Bird flushing, retrieving",15.0,https://cdn2.thedogapi.com/images/1lFmrzECl.jpg,,20.0,Sporting,14.0,"Trainable, Friendly, Affectionate, Playful, Quiet, Faithful"
Cocker Spaniel (American),12,15,87,30.0,Hunting the American woodcock,15.0,https://cdn2.thedogapi.com/images/HkRcZe547.jpg,,20.0,Sporting,14.0,"Outgoing, Sociable, Trusting, Joyful, Even Tempered, Merry"
Coton de Tulear,13,16,89,15.0,"Accompanying ladies on long sea voyages, ratters onboard ship.",11.0,https://cdn2.thedogapi.com/images/SyviZlqNm.jpg,,9.0,Non-Sporting,9.0,"Affectionate, Lively, Playful, Intelligent, Trainable, Vocal"
Dalmatian,10,13,92,55.0,Carriage dog - trot alongside carriages to protect the occupants from banditry or other interference,23.0,https://cdn2.thedogapi.com/images/SkJ3blcN7.jpg,,50.0,Non-Sporting,19.0,"Outgoing, Friendly, Energetic, Playful, Sensitive, Intelligent, Active"
Doberman Pinscher,10,10,94,88.0,Guardian,28.0,https://cdn2.thedogapi.com/images/HyL3bl94Q.jpg,,66.0,Working,24.0,"Fearless, Energetic, Alert, Loyal, Obedient, Confident, Intelligent"
Dogo Argentino,10,12,95,100.0,Big-game hunting,27.0,https://cdn2.thedogapi.com/images/S1nhWx94Q.jpg,,80.0,Working,23.5,"Friendly, Affectionate, Cheerful, Loyal, Tolerant, Protective"
Dutch Shepherd,15,15,98,70.0,"Farms, watchdog, guard duty",24.5,https://cdn2.thedogapi.com/images/BkE6Wg5E7.jpg,,50.0,,22.0,"Reliable, Affectionate, Alert, Loyal, Obedient, Trainable"
English Setter,12,12,101,80.0,"Bird setting, retrieving",25.0,https://cdn2.thedogapi.com/images/By4A-eqVX.jpg,,45.0,Sporting,24.0,"Strong Willed, Mischievous, Affectionate, Energetic, Playful, Companionable, Gentle, Hard-working, Intelligent, Eager, People-Oriented"
English Shepherd,10,13,102,66.0,"Herding & guarding livestock, farm watch dog",23.0,https://cdn2.thedogapi.com/images/H1QyMe5EQ.jpg,,44.0,Working,18.0,"Kind, Energetic, Independent, Adaptable, Intelligent, Bossy"
English Springer Spaniel,12,14,103,50.0,"Bird flushing, retrieving",20.0,https://cdn2.thedogapi.com/images/Hk0Jfe5VQ.jpg,,35.0,Sporting,19.0,"Affectionate, Cheerful, Alert, Intelligent, Attentive, Active"
English Toy Spaniel,10,12,104,14.0,Companion of kings,,https://cdn2.thedogapi.com/images/SkIgzxqNQ.jpg,,8.0,Toy,10.0,"Affectionate, Reserved, Playful, Gentle, Happy, Loving"
English Toy Terrier,12,13,105,8.0,Rat-baiting,12.0,https://cdn2.thedogapi.com/images/SJ6eMxqEQ.jpg,,6.0,,10.0,"Stubborn, Alert, Companionable, Intelligent, Cunning, Trainable"
Eurasier,12,14,107,70.0,Companionship,23.5,https://cdn2.thedogapi.com/images/S1VWGx9Nm.jpg,,40.0,Non-Sporting,20.5,"Alert, Reserved, Intelligent, Even Tempered, Watchful, Calm"
Field Spaniel,11,15,108,50.0,"Bird flushing, retrieving",18.0,https://cdn2.thedogapi.com/images/SkJfGecE7.jpg,,35.0,Sporting,17.0,"Docile, Cautious, Sociable, Sensitive, Adaptable, Familial"
Finnish Lapphund,12,15,110,53.0,Herding reindeer,21.0,https://cdn2.thedogapi.com/images/S1KMGg5Vm.jpg,,33.0,Herding,16.0,"Friendly, Keen, Faithful, Calm, Courageous"
Finnish Spitz,12,15,111,28.0,"Hunting birds, small mammals",20.0,https://cdn2.thedogapi.com/images/3PjHlQbkV.jpg,,23.0,Non-Sporting,15.5,"Playful, Loyal, Independent, Intelligent, Happy, Vocal"
French Bulldog,9,11,113,28.0,Lapdog,12.0,https://cdn2.thedogapi.com/images/HyWNfxc47.jpg,,28.0,Non-Sporting,11.0,"Playful, Affectionate, Keen, Sociable, Lively, Alert, Easygoing, Patient, Athletic, Bright"
German Pinscher,12,14,114,45.0,"Watchdog, Hunting vermin on the farm.",20.0,https://cdn2.thedogapi.com/images/B1u4zgqE7.jpg,,25.0,Working,17.0,"Spirited, Lively, Intelligent, Loving, Even Tempered, Familial"
German Shepherd Dog,10,13,115,90.0,"Herding, Guard dog",26.0,https://cdn2.thedogapi.com/images/SJyBfg5NX.jpg,,50.0,Herding,22.0,"Alert, Loyal, Obedient, Curious, Confident, Intelligent, Watchful, Courageous"
German Shorthaired Pointer,12,14,116,70.0,General hunting,25.0,https://cdn2.thedogapi.com/images/SJqBMg5Nm.jpg,,45.0,Sporting,21.0,"Boisterous, Bold, Affectionate, Intelligent, Cooperative, Trainable"
Giant Schnauzer,10,12,119,90.0,"Herding, guarding",27.5,https://cdn2.thedogapi.com/images/H1NIzlcV7.jpg,,65.0,Working,23.5,"Strong Willed, Kind, Loyal, Intelligent, Dominant, Powerful"
Glen of Imaal Terrier,12,15,120,40.0,"Rid the home and farm of vermin, and hunt badger and fox",14.0,https://cdn2.thedogapi.com/images/H1oLMe94m.jpg,,32.0,Terrier,12.5,"Spirited, Agile, Loyal, Gentle, Active, Courageous"
Golden Retriever,10,12,121,75.0,Retrieving,24.0,https://cdn2.thedogapi.com/images/HJ7Pzg5EQ.jpg,,55.0,Sporting,21.5,"Intelligent, Kind, Reliable, Friendly, Trustworthy, Confident"
Gordon Setter,10,12,123,80.0,Find and point gamebirds,27.0,https://cdn2.thedogapi.com/images/SJ5vzx5NX.jpg,,45.0,Sporting,23.0,"Fearless, Alert, Loyal, Confident, Gay, Eager"
Great Dane,7,10,124,190.0,"Hunting & holding boars, Guardian",32.0,https://cdn2.thedogapi.com/images/B1Edfl9NX.jpg,,110.0,Working,28.0,"Friendly, Devoted, Reserved, Gentle, Confident, Loving"
Great Pyrenees,10,12,125,115.0,Sheep guardian,32.0,https://cdn2.thedogapi.com/images/B12uzg9V7.png,,85.0,Working,25.0,"Strong Willed, Fearless, Affectionate, Patient, Gentle, Confident"
Greyhound,10,13,127,70.0,Coursing hares,30.0,https://cdn2.thedogapi.com/images/ryNYMx94X.jpg,,50.0,Hound,27.0,"Affectionate, Athletic, Gentle, Intelligent, Quiet, Even Tempered"
Griffon Bruxellois,10,15,128,12.0,Hunt and kill vermin in stables,11.0,https://cdn2.thedogapi.com/images/ryoYGec4Q.jpg,,12.0,,9.0,"Self-important, Inquisitive, Alert, Companionable, Sensitive, Watchful"
Harrier,12,15,129,60.0,Hunting hares by trailing them,22.0,https://cdn2.thedogapi.com/images/B1IcfgqE7.jpg,,40.0,Hound,18.0,"Outgoing, Friendly, Cheerful, Sweet-Tempered, Tolerant, Active"
Havanese,14,15,130,13.0,Companionship,11.5,https://cdn2.thedogapi.com/images/rkXiGl9V7.jpg,,7.0,Toy,8.5,"Affectionate, Responsive, Playful, Companionable, Gentle, Intelligent"
Irish Setter,10,11,134,70.0,"Bird setting, retrieving",27.0,https://cdn2.thedogapi.com/images/S1osGeqVm.jpg,,35.0,Sporting,24.0,"Affectionate, Energetic, Lively, Independent, Playful, Companionable"
Irish Terrier,12,16,135,27.0,,,https://cdn2.thedogapi.com/images/By-hGecVX.jpg,,25.0,Terrier,18.0,"Respectful, Lively, Intelligent, Dominant, Protective, Trainable"
Irish Wolfhound,6,8,137,180.0,"Coursing wolves, elk",35.0,https://cdn2.thedogapi.com/images/Hyd2zgcEX.jpg,,105.0,Hound,30.0,"Sweet-Tempered, Loyal, Dignified, Patient, Thoughtful, Generous"
Italian Greyhound,12,15,138,15.0,Lapdog,15.0,https://cdn2.thedogapi.com/images/SJAnzg9NX.jpg,,7.0,Toy,13.0,"Mischievous, Affectionate, Agile, Athletic, Companionable, Intelligent"
Japanese Chin,12,14,140,9.0,Lapdog,11.0,https://cdn2.thedogapi.com/images/r1H6feqEm.jpg,,4.0,Toy,8.0,"Alert, Loyal, Independent, Intelligent, Loving, Cat-like"
Japanese Spitz,10,16,141,19.0,Companion,15.0,https://cdn2.thedogapi.com/images/HksaMxqNX.jpg,,15.0,,12.0,"Affectionate, Obedient, Playful, Companionable, Intelligent, Proud"
Keeshond,12,15,142,45.0,Barge watchdog,18.0,https://cdn2.thedogapi.com/images/S1GAGg9Vm.jpg,,35.0,Non-Sporting,17.0,"Agile, Obedient, Playful, Quick, Sturdy, Bright"
Komondor,10,12,144,100.0,Sheep guardian,27.5,https://cdn2.thedogapi.com/images/Bko0fl547.jpg,,80.0,Working,25.5,"Steady, Fearless, Affectionate, Independent, Gentle, Calm"
Kooikerhondje,12,15,145,30.0,"Luring ducks into traps - ""tolling""",16.0,https://cdn2.thedogapi.com/images/kOMy84GQE.jpg,,20.0,Sporting,14.0,"Benevolent, Agile, Alert, Intelligent, Active, Territorial"
Kuvasz,8,10,147,115.0,"Guardian, hunting large game",30.0,https://cdn2.thedogapi.com/images/BykZ7ecVX.jpg,,70.0,Working,26.0,"Clownish, Loyal, Patient, Independent, Intelligent, Protective"
Labrador Retriever,10,13,149,80.0,Water retrieving,24.5,https://cdn2.thedogapi.com/images/B1uW7l5VX.jpg,,55.0,Sporting,21.5,"Kind, Outgoing, Agile, Gentle, Intelligent, Trusting, Even Tempered"
Lagotto Romagnolo,14,16,151,35.0,Water retrieval dog in the marshes of Romagna,19.0,https://cdn2.thedogapi.com/images/ryzzmgqE7.jpg,,24.0,Sporting,16.0,"Keen, Loyal, Companionable, Loving, Active, Trainable"
Lancashire Heeler,12,15,153,13.0,"Cattle herding, Ratting, Driving cattle to market.",12.0,https://cdn2.thedogapi.com/images/S1RGml5Em.jpg,,6.0,,10.0,"Clever, Friendly, Alert, Intelligent"
Leonberger,6,8,155,170.0,"Guardian, appearance.",31.5,https://cdn2.thedogapi.com/images/ByrmQlqVm.jpg,,120.0,Working,25.5,"Obedient, Fearless, Loyal, Companionable, Adaptable, Loving"
Lhasa Apso,12,15,156,18.0,"Guarding inside the home, companion",11.0,https://cdn2.thedogapi.com/images/SJp7Qe5EX.jpg,,12.0,Non-Sporting,10.0,"Steady, Fearless, Friendly, Devoted, Assertive, Spirited, Energetic, Lively, Alert, Obedient, Playful, Intelligent"
Maltese,15,18,161,7.0,Lapdog,10.0,https://cdn2.thedogapi.com/images/B1SV7gqN7.jpg,,4.0,Toy,8.0,"Playful, Docile, Fearless, Affectionate, Sweet-Tempered, Lively, Responsive, Easygoing, Gentle, Intelligent, Active"
Miniature American Shepherd,12,15,165,40.0,,18.0,https://cdn2.thedogapi.com/images/BkHHQgcN7.jpg,,20.0,Herding,13.0,"Energetic, Loyal, Intelligent, Trainable"
Miniature Pinscher,15,15,167,11.0,Small vermin hunting,12.5,https://cdn2.thedogapi.com/images/Hy3H7g94X.jpg,,8.0,Toy,10.0,"Clever, Outgoing, Friendly, Energetic, Responsive, Playful"
Miniature Schnauzer,12,14,168,20.0,Ratting,14.0,https://cdn2.thedogapi.com/images/SJIUQl9NX.jpg,,11.0,Terrier,12.0,"Fearless, Friendly, Spirited, Alert, Obedient, Intelligent"
Newfoundland,8,10,171,150.0,"All purpose water dog, fishing aid",28.0,https://cdn2.thedogapi.com/images/Sk4DXl54m.jpg,,100.0,Working,26.0,"Sweet-Tempered, Gentle, Trainable"
Norfolk Terrier,12,15,172,12.0,"Ratting, fox bolting",10.0,https://cdn2.thedogapi.com/images/B1ADQg94X.jpg,,11.0,Terrier,9.0,"Self-confidence, Fearless, Spirited, Companionable, Happy, Lovable"
Norwich Terrier,12,15,176,12.0,"Ratting, fox bolting",,https://cdn2.thedogapi.com/images/BkgKXlqE7.jpg,,11.0,Terrier,10.0,"Hardy, Affectionate, Energetic, Sensitive, Intelligent"
Nova Scotia Duck Tolling Retriever,12,14,177,50.0,,21.0,https://cdn2.thedogapi.com/images/SyYtQe5V7.jpg,,35.0,Sporting,17.0,"Outgoing, Alert, Patient, Intelligent, Loving"
Old English Sheepdog,10,12,178,100.0,"Driving sheep, cattle",,https://cdn2.thedogapi.com/images/HkZ57lq4m.jpg,,60.0,Herding,21.0,"Sociable, Bubbly, Playful, Adaptable, Intelligent, Loving"
Olde English Bulldogge,9,14,179,,,19.0,https://cdn2.thedogapi.com/images/B1d5me547.jpg,,,,15.0,"Friendly, Alert, Confident, Loving, Courageous, Strong"
Papillon,13,17,181,12.0,Lapdog,11.0,https://cdn2.thedogapi.com/images/SkJj7e547.jpg,,3.0,Toy,8.0,"Hardy, Friendly, Energetic, Alert, Intelligent, Happy"
Pekingese,14,18,183,14.0,Lapdog,9.0,https://cdn2.thedogapi.com/images/ByIiml9Nm.jpg,,14.0,Toy,6.0,"Opinionated, Good-natured, Stubborn, Affectionate, Aggressive, Intelligent"
Pembroke Welsh Corgi,12,14,184,30.0,Driving stock to market in northern Wales,12.0,https://cdn2.thedogapi.com/images/rJ6iQeqEm.jpg,,25.0,Herding,10.0,"Tenacious, Outgoing, Friendly, Bold, Playful, Protective"
Perro de Presa Canario,10,12,185,110.0,,25.5,https://cdn2.thedogapi.com/images/S1V3Qeq4X.jpg,,88.0,Working,22.0,"Strong Willed, Suspicious, Gentle, Dominant, Calm"
Pharaoh Hound,12,14,188,60.0,Hunting rabbits,25.0,https://cdn2.thedogapi.com/images/Byz6mgqEQ.jpg,,40.0,Hound,21.0,"Affectionate, Sociable, Playful, Intelligent, Active, Trainable"
